fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-09-30,2022-10-26,0.3,0.27,0.03,11.1111
2022-06-30,2022-07-27,0.68,0.45,0.23,51.1111
2022-03-31,2022-04-27,0.38,0.37,0.01,2.7027
2021-12-31,2022-02-03,0.26,0.45,-0.19,-42.2222
2021-09-30,2021-10-27,0.51,0.27,0.24,88.8889
2021-06-30,2021-07-28,0.13,-0.03,0.16,533.3333
2021-03-31,2021-04-28,0.89,0.21,0.68,323.8095
2020-12-31,2021-02-04,0.34,-0.07,0.41,585.7143
2020-09-30,2020-10-28,0.65,0.19,0.46,242.1053
2020-06-30,2020-07-30,-0.35,-1.17,0.82,70.0855
2020-03-31,2020-04-28,-0.23,-0.12,-0.11,-91.6667
2019-12-31,2020-02-04,0.12,0.15,-0.03,-20
2019-09-30,2019-10-23,0.34,0.26,0.08,30.7692
2019-06-30,2019-07-24,0.28,0.31,-0.03,-9.6774
2019-03-31,2019-04-25,0.44,0.27,0.17,62.963
2018-12-31,2019-01-23,0.3,0.32,-0.02,-6.25
2018-09-30,2018-10-24,0.29,0.28,0.01,3.5714
2018-06-30,2018-07-25,0.27,0.31,-0.04,-12.9032
2018-03-31,2018-04-25,0.43,0.41,0.02,4.878
2017-12-31,2018-01-24,0.39,0.42,-0.03,-7.1429
2017-09-30,2017-10-26,0.43,0.33,0.1,30.303
2017-06-30,2017-07-26,0.56,0.43,0.13,30.2326
2017-03-31,2017-04-27,0.39,0.35,0.04,11.4286
2016-12-31,2017-01-26,0.3,0.31,-0.01,-3.2258
2016-09-30,2016-10-27,0.26,0.2,0.06,30
2016-06-30,2016-07-28,0.52,0.6,-0.08,-13.3333
2016-03-31,2016-04-28,0.68,0.48,0.2,41.6667
2015-12-31,2016-01-28,0.58,0.51,0.07,13.7255
2015-09-30,2015-10-27,0.45,0.47,-0.02,-4.2553
2015-06-30,2015-07-28,0.47,0.37,0.1,27.027
2015-03-31,2015-04-28,0.23,0.26,-0.03,-11.5385
2014-12-31,2015-01-29,0.26,0.23,0.03,13.0435
2014-09-30,2014-10-24,0.24,0.19,0.05,26.3158
2014-06-30,2014-07-24,0.4,0.36,0.04,11.1111
2014-03-31,2014-04-25,0.25,0.31,-0.06,-19.3548
2013-12-31,2014-01-28,0.31,0.28,0.03,10.7143
2013-09-30,2013-10-24,0.45,0.38,0.07,18.4211
2013-06-30,2013-07-24,0.45,0.37,0.08,21.6216
2013-03-31,2013-04-24,0.41,0.37,0.04,10.8108
2012-12-31,2013-01-29,0.31,0.25,0.06,24
2012-09-30,2012-10-30,0.4,0.3,0.1,33.3333
2012-06-30,2012-07-25,0.3,0.28,0.02,7.1429
2012-03-31,2012-04-27,0.39,0.35,0.04,11.4286
2011-12-31,2012-01-27,0.2,0.25,-0.05,-20
2011-09-30,2011-10-26,0.46,0.44,0.02,4.5455
2011-06-30,2011-07-26,0.65,0.6,0.05,8.3333
2011-03-31,2011-04-26,0.62,0.5,0.12,24
2010-12-31,2011-01-28,0.3,0.48,-0.18,-37.5
2010-09-30,2010-10-26,0.48,0.38,0.1,26.3158
2010-06-30,2010-07-23,0.68,0.4,0.28,70
2010-03-31,2010-04-27,0.46,0.31,0.15,48.3871
2009-12-31,2010-01-28,0.43,0.26,0.17,65.3846
2009-09-30,2009-11-02,0.26,-0.12,0.38,316.6667
2009-06-30,2009-07-23,-0.21,-0.48,0.27,56.25
2009-03-31,2009-04-24,-0.75,-1.23,0.48,39.0244
2008-12-31,2009-01-29,-1.37,-1.3,-0.07,-5.3846
2008-09-30,2008-11-07,-1.31,-0.94,-0.37,-39.3617
2008-06-30,2008-07-24,-0.62,-0.27,-0.35,-129.6296
2008-03-31,2008-04-24,0.2,-0.16,0.36,225
2007-12-31,2008-01-24,-0.2,-0.19,-0.01,-5.2632
2007-09-30,2007-11-08,-0.01,-0.46,0.45,97.8261
2007-06-30,2007-07-26,0.13,-0.35,0.48,137.1429
2007-03-31,2007-04-26,-0.09,-0.6,0.51,85
2006-12-31,2007-01-25,-1.1,-1.01,-0.09,-8.9109
2006-09-30,2006-10-23,-0.62,-0.61,-0.01,-1.6393
2006-06-30,2006-07-20,-0.03,0.12,-0.15,-125
2006-03-31,2006-04-21,0.24,0.25,-0.01,-4
2005-12-31,2006-01-23,0.26,0.01,0.25,2500
2005-09-30,2005-10-20,-0.1,-0.1,0,0
2005-06-30,2005-07-19,0.47,0.33,0.14,42.4242
2005-03-31,2005-04-20,0.62,0.39,0.23,58.9744
2004-12-31,2005-01-20,0.28,0.27,0.01,3.7037
2004-09-30,2004-10-19,0.28,0.14,0.14,100
2004-06-30,2004-07-20,0.61,0.5,0.11,22
2004-03-31,2004-04-21,0.96,0.44,0.52,118.1818
2003-12-31,2004-01-22,0.31,0.28,0.03,10.7143
2003-09-30,2003-10-16,0.15,-0.11,0.26,236.3636
2003-06-30,2003-07-16,0.22,0.18,0.04,22.2222
2003-03-31,2003-04-16,0.45,0.22,0.23,104.5455
2002-12-31,2003-01-21,0.08,0.06,0.02,33.3333
2002-09-30,2002-10-16,0.12,0.04,0.08,200
2002-06-30,2002-07-17,0.31,0.26,0.05,19.2308
2002-03-31,2002-04-17,-0.06,-0.15,0.09,60
2001-12-31,2002-01-17,-0.48,-0.5,0.02,4
2001-09-30,2001-10-17,-0.28,-0.27,-0.01,-3.7037
2001-06-30,2001-07-18,-0.3,-0.34,0.04,11.7647
2001-03-31,2001-04-19,0.6,0.53,0.07,13.2075
2000-12-31,2001-01-18,0.64,0.64,0,0
2000-09-30,2000-10-18,0.5,0.49,0.01,2.0408
2000-06-30,2000-07-19,2.07,2,0.07,3.5
2000-03-31,2000-04-17,1.7,1.57,0.13,8.2803
1999-12-31,2000-01-26,1.47,1.45,0.02,1.3793
1999-09-30,1999-10-18,0.9,0.84,0.06,7.1429
1999-06-30,1999-07-14,2,1.95,0.05,2.5641
1999-03-31,1999-04-15,1.46,1.41,0.05,3.5461
1998-12-31,1999-01-21,1.35,1.26,0.09,7.1429
1998-09-30,1998-10-14,0.8,0.79,0.01,1.2658
1998-06-30,1998-07-15,1.91,1.8,0.11,6.1111
1998-03-31,1998-04-16,1.22,1.34,-0.12,-8.9552
1997-12-31,1998-01-27,1.45,1.21,0.24,19.8347
1997-09-30,1997-10-15,0.9,0.84,0.06,7.1429
1997-06-30,1997-07-16,1.98,1.83,0.15,8.1967
1997-03-31,1997-04-16,1.2,0.86,0.34,39.5349
1996-12-31,1997-01-29,1.1,0.98,0.12,12.2449
1996-09-30,1996-10-16,0.53,0.52,0.01,1.9231
1996-06-30,1996-07-17,1.38,1.21,0.17,14.0496
1996-03-31,1996-04-17,0.53,0.34,0.19,55.8824
