fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome,report_type
2022-12-31,USD,14724000000,2184000000,None,9064000000,11557000000,2913000000,7158000000,1124000000,6465000000,12587000000,-11973000000,-3527000000,None,None,None,None,None,None,None,0,None,None,541000000,None,None,None,12556000000,annual
2021-12-31,USD,11497000000,1532000000,None,5847000000,-3401000000,2381000000,7982000000,-130000000,1709000000,5644000000,-7868000000,-5203000000,None,None,None,None,None,None,None,0,None,None,707000000,None,-1574000000,None,5519000000,annual
2020-12-31,USD,5943000000,1115000000,None,2918000000,1669000000,2149000000,3167000000,652000000,422000000,862000000,-3132000000,9973000000,None,None,None,None,None,None,None,12269000000,None,None,12686000000,None,12784000000,None,721000000,annual
2019-12-31,USD,2405000000,1009000000,None,1592000000,969000000,1901000000,1332000000,367000000,429000000,-775000000,-1436000000,1529000000,None,None,None,None,None,None,None,848000000,None,174000000,1285000000,None,2498000000,None,-862000000,annual
2018-12-31,USD,2098000000,443545000,None,2289477000,1602121000,1268730000,2100724000,496732000,1023000000,-1063000000,-2337000000,574000000,None,None,11000,None,None,None,None,None,None,None,295711000,None,334129000,None,-976000000,annual
2022-12-31,USD,3278000000,None,None,2533000000,4194000000,1162000000,1858000000,698000000,1973000000,3707000000,-6131000000,-495000000,None,None,None,None,None,None,None,0,None,None,67000000,None,None,None,3687000000,quarterly
2022-09-30,USD,5100000000,None,None,3976000000,3363000000,620000000,303000000,193000000,2300000000,3331000000,-2791000000,-712000000,0,None,0,None,None,None,None,0,0,0,229000000,None,1597000000,None,3292000000,quarterly
2022-06-30,USD,2351000000,None,None,957000000,2058000000,578000000,3230000000,-176000000,1559000000,2269000000,-884000000,-406000000,0,None,0,None,None,None,None,0,0,0,43000000,None,2847000000,None,2259000000,quarterly
2022-03-31,USD,3995000000,None,None,1598000000,1942000000,552000000,1767000000,409000000,633000000,3280000000,-2167000000,-1914000000,0,None,0,None,None,None,None,0,0,0,202000000,None,-86000000,None,3318000000,quarterly
2021-12-31,USD,4585000000,None,None,2384000000,-5755000000,997000000,1810000000,-278000000,-2884000000,2343000000,-1916000000,-1257000000,0,None,0,None,None,None,None,0,0,0,262000000,None,1412000000,None,2321000000,quarterly
2021-09-30,USD,3147000000,None,None,1545000000,964000000,496000000,1819000000,-135000000,488000000,1659000000,-1855000000,-1381000000,0,None,0,None,None,None,None,0,0,0,192000000,None,2154000000,None,1618000000,quarterly
2021-06-30,USD,2124000000,None,None,1061000000,1831000000,462000000,1505000000,307000000,581000000,1178000000,-1515000000,-1549000000,0,None,0,None,None,None,None,0,0,0,70000000,None,1639000000,None,1142000000,quarterly
2021-03-31,USD,1641000000,None,None,857000000,-441000000,426000000,2848000000,-24000000,106000000,464000000,-2582000000,-1016000000,0,None,0,None,None,None,None,0,0,0,183000000,None,-1957000000,None,438000000,quarterly
2020-12-31,USD,3019000000,None,None,1774000000,122000000,875000000,1156000000,102000000,-180000000,296000000,-1047000000,2692000000,0,None,0,None,None,None,None,4987000000,0,0,5043000000,None,2066000000,None,270000000,quarterly
2020-09-30,USD,2400000000,None,None,1424000000,459000000,455000000,1010000000,314000000,67000000,369000000,-1039000000,4450000000,0,None,0,None,None,None,None,4973000000,0,0,5117000000,None,772000000,None,331000000,quarterly
2020-06-30,USD,964000000,None,None,-51000000,-21000000,402000000,546000000,222000000,1516000000,129000000,-566000000,123000000,0,None,0,None,None,None,None,0,0,0,57000000,None,485000000,None,104000000,quarterly
2020-03-31,USD,-440000000,None,None,-229000000,1109000000,417000000,455000000,14000000,-981000000,68000000,-480000000,2708000000,0,None,0,None,None,None,None,2309000000,0,0,2469000000,None,1788000000,None,16000000,quarterly
2019-12-31,USD,1425000000,671000000,None,654000000,144000000,566000000,412000000,217000000,-56000000,132000000,-403000000,-79000000,0,None,0,None,None,None,None,0,0,0,96000000,None,1391000000,None,105000000,quarterly
2019-09-30,USD,756000000,None,None,296631000,207284000,476000000,385058000,-18312000,133000000,150000000,-486000000,118000000,0,None,0,None,None,None,None,0,0,-432000,70751000,None,503000000,None,143000000,quarterly
2019-06-30,USD,864000000,None,None,331084000,-309115000,369537000,255010000,68672000,-457000000,-389000000,-241000000,2143000000,0,None,0,None,63502000,63502000,None,0,0,0,1040296000,None,-54662000,None,-408000000,quarterly
2019-03-31,USD,-640000000,None,None,310285000,926831000,339508000,279932000,99640000,809000000,-668000000,-306000000,-653000000,0,None,0,None,85257000,85257000,None,0,0,0,77953000,None,-1598468000,None,-702000000,quarterly
2018-12-31,USD,1235000000,None,None,302831000,-226125000,471730000,324978000,-189371000,-88000000,210000000,-365000000,-112000000,0,None,6000,None,None,None,None,0,0,0,75771000,None,1442900000,None,140000000,quarterly
2018-09-30,USD,1391040000,26200000,None,1052082000,578987000,300000000,510271000,587594000,55444000,254000000,-560546000,-84282000,0,None,0,None,None,None,None,0,0,0,94869000,None,528473000,None,311000000,quarterly
2018-06-30,USD,-129664000,None,None,609782000,708035000,251800000,609813000,-70633000,733475000,-742706000,-682817000,398622000,0,None,0,None,None,None,None,0,0,0,31053000,None,-434806000,None,-718000000,quarterly
2018-03-31,USD,-398376000,None,None,324782000,541224000,245200000,655662000,169142000,322081000,-784627000,-728637000,371660000,0,None,0,None,None,None,None,0,0,0,94018000,None,-1369583000,None,-709000000,quarterly
