fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome,report_type
2021-12-31,USD,91652000000,2489000000,None,8361000000,10941000000,12441000000,24640000000,9095000000,None,76033000000,-35523000000,-61362000000,None,50274000000,50274000000,None,None,None,None,None,None,None,-50274000000,None,-5233000000,None,76033000000,annual
2020-12-31,USD,65124000000,2004000000,None,6833000000,7854000000,13697000000,22281000000,6524000000,None,40269000000,-32773000000,-24408000000,None,31149000000,31149000000,None,None,None,None,None,None,None,-31149000000,None,7943000000,None,40269000000,annual
2019-12-31,USD,54520000000,1661000000,None,7635000000,4961000000,11781000000,23548000000,4340000000,None,34343000000,-29491000000,-23209000000,None,18396000000,18396000000,None,None,None,None,None,None,None,-18396000000,None,1820000000,None,34343000000,annual
2018-12-31,USD,47971000000,69000000,None,10052000000,3376000000,9035000000,25139000000,2169000000,None,30736000000,-28504000000,-13179000000,None,9075000000,9075000000,None,None,None,None,None,None,None,-9075000000,None,5986000000,-302000000,30736000000,annual
2017-12-31,USD,37091000000,84000000,None,6012000000,5932000000,6915000000,13184000000,3768000000,None,12506000000,-31401000000,-8298000000,None,4846000000,4846000000,None,0,None,None,None,None,None,-4846000000,None,-2203000000,405000000,12662000000,annual
2022-09-30,USD,23353000000,None,None,4229000000,2744000000,4046000000,7276000000,97000000,None,13910000000,-833000000,-18097000000,None,15392000000,15392000000,None,None,None,None,None,None,None,-15392000000,None,4423000000,None,13910000000,quarterly
2022-06-30,USD,19422000000,None,None,2784000000,2814000000,3899000000,6828000000,1969000000,None,16002000000,-4187000000,-17817000000,None,15197000000,15197000000,None,None,None,None,None,None,None,-15197000000,None,-2582000000,None,16002000000,quarterly
2022-03-31,USD,25106000000,None,None,-5683000000,-3588000000,3782000000,9786000000,-4364000000,None,16436000000,-9051000000,-16214000000,None,13300000000,13300000000,None,None,None,None,None,None,None,-13300000000,None,-159000000,None,16436000000,quarterly
2021-12-31,USD,24934000000,None,None,6066000000,6218000000,3439000000,6383000000,5819000000,None,20642000000,-11016000000,-16511000000,None,13473000000,13473000000,None,None,None,None,None,None,None,-13473000000,None,-2593000000,None,20642000000,quarterly
2021-09-30,USD,25539000000,None,None,3072000000,3664000000,3304000000,6819000000,2409000000,None,18936000000,-10050000000,-15254000000,None,12610000000,12610000000,None,None,None,None,None,None,None,-12610000000,None,18936000000,None,18936000000,quarterly
2021-06-30,USD,21890000000,None,None,3598000000,3860000000,2945000000,5496000000,3661000000,None,18525000000,-9074000000,-15991000000,None,12796000000,12796000000,None,None,None,None,None,None,None,-12796000000,None,18525000000,None,18525000000,quarterly
2021-03-31,USD,19289000000,None,None,-4375000000,-2801000000,2753000000,5942000000,-2794000000,None,17930000000,-5383000000,-13606000000,None,11395000000,11395000000,None,None,None,None,None,None,None,-11395000000,None,300000000,None,17930000000,quarterly
2020-12-31,USD,22677000000,554000000,None,5783000000,6183000000,3725000000,5479000000,5445000000,None,15227000000,-7281000000,-9270000000,None,7904000000,7904000000,None,None,None,None,None,None,None,-7904000000,None,6126000000,None,15227000000,quarterly
2020-09-30,USD,17003000000,527000000,None,3690000000,3834000000,3478000000,5406000000,3601000000,None,11247000000,-15197000000,546000000,None,7897000000,7897000000,None,None,None,None,None,None,None,-7897000000,None,5314000000,None,11247000000,quarterly
2020-06-30,USD,13993000000,493000000,None,1689000000,324000000,3386000000,5391000000,80000000,None,6959000000,-8448000000,-7498000000,None,6852000000,6852000000,None,None,None,None,None,None,None,-6852000000,None,1075000000,None,6959000000,quarterly
2020-03-31,USD,11451000000,430000000,None,-4329000000,-2487000000,3108000000,6005000000,-2602000000,None,6836000000,-1847000000,-8186000000,None,8496000000,8496000000,None,None,None,None,None,None,None,-8496000000,None,1418000000,None,6836000000,quarterly
2019-12-31,USD,14427000000,449000000,None,5243000000,4199000000,3413000000,6052000000,4365000000,None,10671000000,-4703000000,-7326000000,None,6098000000,6098000000,None,None,None,None,None,None,None,-6098000000,None,2398000000,None,10671000000,quarterly
2019-09-30,USD,15466000000,442000000,None,1851000000,612000000,2920000000,6732000000,1000000,None,7068000000,-8945000000,-6954000000,None,5696000000,5696000000,None,None,None,None,None,None,None,-5696000000,None,-106000000,None,7068000000,quarterly
2019-06-30,USD,12627000000,396000000,None,1276000000,1057000000,2835000000,6126000000,1146000000,None,9947000000,-10455000000,-4746000000,None,3577000000,3577000000,None,None,None,None,None,None,None,-3577000000,None,3425000000,None,9947000000,quarterly
2019-03-31,USD,12000000000,374000000,None,-735000000,-907000000,2613000000,4638000000,-1172000000,None,6657000000,-5388000000,-4183000000,None,3025000000,3025000000,None,None,None,None,None,None,None,-3025000000,None,2447000000,18000000,6657000000,quarterly
2018-12-31,USD,12987000000,None,None,3030000000,2854000000,2580000000,7081000000,2887000000,None,8948000000,-6876000000,-2746000000,None,2650000000,2650000000,None,None,None,None,None,None,None,-2650000000,None,3258000000,-107000000,8948000000,quarterly
2018-09-30,USD,13210000000,None,None,2150000000,1154000000,2355000000,5282000000,670000000,None,9192000000,-10408000000,-3478000000,None,2200000000,2200000000,None,None,None,None,None,None,None,-2200000000,None,-705000000,-29000000,9192000000,quarterly
2018-06-30,USD,10132000000,None,None,5762000000,827000000,2114000000,5477000000,312000000,None,3195000000,-3374000000,-4937000000,None,2052000000,2052000000,None,None,None,None,None,None,None,-2052000000,None,1490000000,-331000000,3195000000,quarterly
2018-03-31,USD,11642000000,None,None,-890000000,-1459000000,1986000000,7299000000,-1700000000,None,9401000000,-7846000000,-2018000000,None,2173000000,2173000000,None,None,None,None,None,None,None,-2173000000,None,1943000000,165000000,9401000000,quarterly
2017-12-31,USD,10268000000,None,None,2605000000,3127000000,2026000000,4307000000,3049000000,None,-3083000000,-6974000000,-3178000000,None,2101000000,2101000000,None,None,None,None,None,None,None,-2101000000,None,134000000,18000000,-3020000000,quarterly
